genus,count,public_health,agriculture,industry,public_health_sources,agriculture_sources,industry_sources,Checked
Acrasis,1,0,0,0,,,,yes
Andalucia,1,0,0,0,,,,yes
Angomonas,4,0,0,0,,,,yes
Aspergillus,1160,1,1,1,https://www.cdc.gov/aspergillosis/about/index.html,https://www.fda.gov/food/natural-toxins-food/mycotoxins,https://pubmed.ncbi.nlm.nih.gov/29850025/,yes
Babesia,23,1,1,0,https://www.cdc.gov/babesiosis/about/index.html,https://link.springer.com/article/10.1186/s13071-023-05727-y,,yes
Batrachochytrium,14,0,0,0,,,,yes
Besnoitia,1,0,1,0,,https://pubmed.ncbi.nlm.nih.gov/21906696/,,yes
Blastobotrys,24,0,0,1,,,https://pubmed.ncbi.nlm.nih.gov/27372304/,yes
Blechomonas,1,0,0,0,,,,yes
Bodo,1,0,0,0,,,,yes
Brettanomyces,32,0,0,1,,,https://pubmed.ncbi.nlm.nih.gov/28936776/,yes
Candida,252,1,0,1,https://www.cdc.gov/candidiasis/about/index.html,,https://link.springer.com/content/pdf/10.1186/s12934-023-02190-3.pdf,yes
Chlorella,21,0,1,1,,https://www.sciencedirect.com/science/article/abs/pii/S0044848621005044,https://pmc.ncbi.nlm.nih.gov/articles/PMC11673457/,yes
Chytriomyces,5,0,0,0,,,,yes
Clavispora,83,1,0,1,https://www.sciencedirect.com/science/article/pii/S1878614624000722,,https://www.nature.com/articles/s41467-025-64914-w,yes
Crithidia,7,0,0,0,,,,yes
Cryptosporidium,70,1,1,1,https://www.cdc.gov/cryptosporidium/about/index.html,https://pubmed.ncbi.nlm.nih.gov/31521186/,https://www.sciencedirect.com/science/article/pii/S004313541630690X?via%3Dihub,yes
Cyberlindnera,45,1,0,1,https://www.sciencedirect.com/science/article/pii/S1684118222001906?via%3Dihub,,https://link.springer.com/content/pdf/10.1186/s13068-024-02585-3.pdf,yes
Cyclospora,39,1,1,0,https://www.cdc.gov/cyclosporiasis/about/index.html,https://www.fda.gov/food/foodborne-pathogens/cyclosporiasis-and-fresh-produce,,yes
Debaryomyces,36,0,0,1,,,https://link.springer.com/article/10.1007/s11274-022-03280-x,yes
Diplonema,2,0,0,0,,,,yes
Eimeria,12,0,1,0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7351014/,,yes
Encephalitozoon,13,1,1,0,https://www.cdc.gov/dpdx/microsporidiosis/,https://www.cdc.gov/dpdx/microsporidiosis/,,yes
Endotrypanum,2,0,0,0,,,,yes
Eremothecium,5,0,0,1,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7983732/,yes
Exophiala,96,1,0,0,https://www.nature.com/articles/s41598-025-88595-z,,,yes
Fusarium,1232,1,1,1,https://wwwnc.cdc.gov/eid/article/31/5/24-1657,https://www.fda.gov/food/natural-toxins-food/mycotoxins,https://link.springer.com/article/10.1186/s12864-018-4612-2,yes
Galdieria,14,0,0,1,,,https://www.sciencedirect.com/science/article/abs/pii/S0960852425010028,yes
Giardia,38,1,1,0,https://www.cdc.gov/giardia/causes/index.html,https://pubmed.ncbi.nlm.nih.gov/32029186/,,yes
Gregarina,1,0,1,0,,https://www.sciencedirect.com/science/article/pii/S1226861513000836,,yes
Haemoproteus,1,0,1,0,,https://link.springer.com/article/10.1007/s11250-024-04250-1,,yes
Hammondia,1,0,1,0,,https://www.sciencedirect.com/science/article/abs/pii/S0304401709001034,,yes
Herpetomonas,2,0,0,0,,,,yes
Hyphopichia,18,1,0,1,https://pubmed.ncbi.nlm.nih.gov/36911872/,,https://pubmed.ncbi.nlm.nih.gov/40284653/,yes
Kazachstania,78,1,0,1,https://wwwnc.cdc.gov/eid/article/28/1/21-1543_article,,https://pubmed.ncbi.nlm.nih.gov/33881636/,yes
Kluyveromyces,45,0,0,1,,,https://link.springer.com/article/10.1007/s10295-016-1771-5,yes
Komagataella,185,0,1,1,,https://pubmed.ncbi.nlm.nih.gov/40339766/,https://pubmed.ncbi.nlm.nih.gov/36979376/,yes
Lachancea,26,0,0,1,,,https://link.springer.com/article/10.1186/s13568-025-01896-4,yes
Leishmania,93,1,1,1,https://www.cdc.gov/leishmaniasis/about/index.html,https://pubmed.ncbi.nlm.nih.gov/35715844/,https://pubmed.ncbi.nlm.nih.gov/27435294/,yes
Leptomonas,3,1,0,0,https://pubmed.ncbi.nlm.nih.gov/26492813/,,,yes
Lotmaria,5,0,1,0,,https://www.nature.com/articles/s42003-020-0775-x,,yes
Magnusiomyces,6,1,0,1,https://www.sciencedirect.com/topics/immunology-and-microbiology/magnusiomyces-capitatus,,https://pubmed.ncbi.nlm.nih.gov/31114745/,yes
Metschnikowia,133,0,1,1,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7409183/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7409183/,yes
Micromonas,16,0,0,1,,,https://pubmed.ncbi.nlm.nih.gov/20004733/,yes
Naegleria,14,1,0,0,https://www.cdc.gov/naegleria/causes/index.html,,,yes
Nakaseomyces,73,1,0,0,https://www.sciencedirect.com/science/article/pii/S2165049725012612,,,yes
Naumovozyma,12,0,0,1,,,https://www.sciencedirect.com/science/article/abs/pii/S0023643815300827,yes
Nematocida,19,0,0,0,,,,yes
Neospora,4,1,1,0,https://wwwnc.cdc.gov/eid/article/5/2/99-0215_article,https://pubmed.ncbi.nlm.nih.gov/29614327/,,yes
Neovahlkampfia,1,0,0,0,,,,yes
Novymonas,1,0,0,0,,,,yes
Ogataea,98,0,0,1,,,https://link.springer.com/article/10.1186/s12896-021-00675-w,yes
Paratrypanosoma,1,0,0,0,,,,yes
Penicillium,465,1,1,1,https://www.fda.gov/food/natural-toxins-food/mycotoxins,https://www.fda.gov/food/natural-toxins-food/mycotoxins,https://www.nature.com/articles/nbt.1498,yes
Peronospora,17,0,1,0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9355112/,,yes
Phyllosticta,47,0,1,0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4409051/,,yes
Phytomonas,1,0,1,0,,https://link.springer.com/article/10.1186/s13071-017-2204-7,,yes
Phytophthora,140,0,1,0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11986356/,,yes
Pichia,104,0,1,1,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10651840/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12655638/,yes
Plasmodium,139,1,0,0,https://www.cdc.gov/malaria/php/surveillance/purpose-background.html,,,yes
Porcisia,3,0,0,0,,,,yes
Pythium,30,1,1,1,https://wwwnc.cdc.gov/eid/article/12/3/05-1044_article,https://pmc.ncbi.nlm.nih.gov/articles/PMC2926784/,https://pubmed.ncbi.nlm.nih.gov/19265450/,yes
Saccharomyces,1863,1,1,1,https://wwwnc.cdc.gov/eid/article/27/8/21-0018_article,https://pmc.ncbi.nlm.nih.gov/articles/PMC6827398/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7736362/,yes
Saccharomycopsis,65,1,0,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC6175896/,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12027376/,yes
Sarcocystis,2,1,1,0,https://www.cdc.gov/sarcocystosis/index.html,https://www.cdc.gov/dpdx/sarcocystosis/,,yes
Scheffersomyces,30,0,1,1,,https://pubmed.ncbi.nlm.nih.gov/37835272/,https://pubmed.ncbi.nlm.nih.gov/37351580/,yes
Strigomonas,1,0,0,0,,,,yes
Sugiyamaella,19,0,0,1,,,https://pubmed.ncbi.nlm.nih.gov/27688209/,yes
Tetramitus,2,0,0,0,,,,yes
Tetrapisispora,11,0,0,1,,,https://link.springer.com/article/10.1186/1475-2859-8-55,yes
Theileria,15,0,1,0,,https://wwwnc.cdc.gov/eid/article/25/9/19-0088_article,,yes
Torulaspora,105,0,0,1,,,https://pubmed.ncbi.nlm.nih.gov/29492641/,yes
Toxoplasma,26,1,1,0,https://www.cdc.gov/toxoplasmosis/index.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC11554906/,,yes
Trichophyton,67,1,1,0,https://www.cdc.gov/ringworm/hcp/clinician-brief-resistant-infections/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7640396/,,yes
Trypanosoma,50,1,1,0,https://www.cdc.gov/dpdx/trypanosomiasisamerican/,https://link.springer.com/article/10.1186/s13071-021-04584-x,,yes
Vickermania,2,0,0,0,,,,yes
Wickerhamomyces,46,0,1,1,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8618796/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8618796/,yes
Yamadazyma,23,0,0,1,,,https://academic.oup.com/jimb/article/doi/10.1093/jimb/kuae023/7700697,yes
Yarrowia,61,1,0,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC6302869/,,https://www.sciencedirect.com/science/article/pii/S2405805X24000711,yes
Zygosaccharomyces,33,0,0,1,,,https://www.sciencedirect.com/topics/immunology-and-microbiology/zygosaccharomyces,yes
Zygotorulaspora,6,0,0,1,,,https://pubmed.ncbi.nlm.nih.gov/27367967/,yes
